DATE,JOB POSITION,SENIORITY,INDUSTRY SECTOR,AMOUNT,PROMO CODE,TICKET CLASS,REFERRAL CHANNEL,,,,,,,,,,
2/24/2025,CEO,C-Suite/SVP/VP/Director,Technology Partner,$5.00,AFF_WORK_TIER2_10,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/24/2025,CEO,President/Founder/Owner/Chairperson,Brand,$5.00,AFF_WORK_TIER2_07,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/24/2025,BD Manager,Manager/Senior Manager,Brand,$5.00,AFF_WORK_TIER2_07,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/24/2025,Student,Independent Contributor/Specialist,Media,$5.00,AFF_WORK_TIER1_01,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/24/2025,BD Coordinator,Independent Contributor/Specialist,Consultancy,$5.00,AFF_ALL_TIER2_04,Executive Pass III,Email,,,,,,,,,,
2/24/2025,Founder & Creative Director,President/Founder/Owner/Chairperson,Marketing Agency,$5.00,AFF_WORK_TIER1_01,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/24/2025,CEO,C-Suite/SVP/VP/Director,Marketing Agency,$5.00,AFF_WORK_TIER1_01,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/24/2025,Owner,President/Founder/Owner/Chairperson,Retailer,$5.00,AFF_WORK_TIER1_01,Workshop/Floor Entry Pass,Email,,,,,,,,,,
2/24/2025,Owner,President/Founder/Owner/Chairperson,Brand,$5.00,AFF_WORK_TIER1_01,Workshop/Floor Entry Pass,Email,,,,,,,,,,
2/24/2025,Insights Lead,Manager/Senior Manager,Consultancy,$5.00,AFF_ALL_TIER2_04,Executive Pass III,Email,,,,,,,,,,
2/24/2025,Director of Client Innovation,C-Suite/SVP/VP/Director,Technology Partner,$5.00,DISC_BASIC,Workshop/Floor Entry Pass,Email,,,,,,,,,,
2/24/2025,Director Partnerships,C-Suite/SVP/VP/Director,Technology Partner,$5.00,AFF_ALL_TIER2_03,Executive Pass I,LinkedIn,,,,,,,,,,
2/24/2025,Head Go To Market Canada,C-Suite/SVP/VP/Director,Technology Partner,$5.00,AFF_ALL_TIER2_03,Executive Pass I,LinkedIn,,,,,,,,,,
2/24/2025,Partnerships,Manager/Senior Manager,Technology Partner,$5.00,AFF_WORK_TIER1_01,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/24/2025,"Senior Manager, Brand Marketing",Manager/Senior Manager,Media,$5.00,AFF_WORK_TIER2_02,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/24/2025,Marketing Strategy Specialist,Independent Contributor/Specialist,"Academia, Non-profit, or other",$954.85,ORGANIC,Executive Pass I,LinkedIn,,,,,,,,,,
2/24/2025,Consultant,Independent Contributor/Specialist,"Academia, Non-profit, or other",$5.00,AFF_WORK_TIER1_01,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/24/2025,Business Development,Independent Contributor/Specialist,Consultancy,$5.00,AFF_WORK_TIER1_01,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/23/2025,Marketing,Manager/Senior Manager,Technology Partner,$5.00,AFF_WORK_TIER2_02,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/23/2025,Senior Vice President,C-Suite/SVP/VP/Director,Marketing Agency,$5.00,AFF_WORK_TIER1_01,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/23/2025,Founder and CEO,President/Founder/Owner/Chairperson,Marketing Agency,$5.00,AFF_WORK_TIER1_01,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/23/2025,Event Director,C-Suite/SVP/VP/Director,Marketing Agency,$5.00,AFF_WORK_TIER1_01,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/23/2025,Founder & CEO,President/Founder/Owner/Chairperson,Technology Partner,$5.00,AFF_WORK_TIER1_01,Workshop/Floor Entry Pass,Email,,,,,,,,,,  
2/23/2025,Engineer,Independent Contributor/Specialist,Technology Partner,$5.00,AFF_WORK_TIER1_01,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/23/2025,Founder,President/Founder/Owner/Chairperson,Technology Partner,$5.00,DISC_BASIC,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/23/2025,Account Executive,Independent Contributor/Specialist,Technology Partner,$5.00,AFF_WORK_TIER1_01,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/22/2025,CEO,President/Founder/Owner/Chairperson,Retailer,$5.00,AFF_WORK_TIER1_01,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/22/2025,E-commerce & Digital Marketing Consultant,President/Founder/Owner/Chairperson,Consultancy,$5.00,AFF_WORK_TIER1_01,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/22/2025,CEO,President/Founder/Owner/Chairperson,"Academia, Non-profit, or other",$5.00,AFF_WORK_TIER1_01,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/22/2025,"VP, Strategy & Insights",C-Suite/SVP/VP/Director,Marketing Agency,$5.00,AFF_WORK_TIER1_01,Workshop/Floor Entry Pass,Email,,,,,,,,,,
2/22/2025,President,President/Founder/Owner/Chairperson,Marketing Agency,$5.00,AFF_WORK_TIER1_01,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/22/2025,Holistic Wellness Consultant,President/Founder/Owner/Chairperson,Brand,$5.00,DISC_BASIC,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/22/2025,VP Marketing,C-Suite/SVP/VP/Director,"Academia, Non-profit, or other",$5.00,AFF_WORK_TIER1_01,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/22/2025,Marketing,Manager/Senior Manager,Marketing Agency,$5.00,AFF_WORK_TIER1_01,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/22/2025,Principal,President/Founder/Owner/Chairperson,Marketing Agency,$5.00,AFF_WORK_TIER1_01,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/22/2025,Founder & CEO,President/Founder/Owner/Chairperson,Technology Partner,$5.00,AFF_WORK_TIER1_01,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/22/2025,Senior Director,Manager/Senior Manager,Technology Partner,$5.00,AFF_WORK_TIER1_01,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/22/2025,Co-Founder/Head of Product,President/Founder/Owner/Chairperson,Technology Partner,$5.00,AFF_WORK_TIER1_01,Workshop/Floor Entry Pass,Email,,,,,,,,,,
2/22/2025,Senior Marketing Coordinator,Independent Contributor/Specialist,Consultancy,$5.00,AFF_WORK_TIER1_01,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/22/2025,Managing Director,President/Founder/Owner/Chairperson,Consultancy,$5.00,DISC_BASIC,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/22/2025,"Strategic Advisor, Payments & Loyalty",Independent Contributor/Specialist,Consultancy,$5.00,AFF_WORK_TIER2_11,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
2/21/2025,COO,President/Founder/Owner/Chairperson,Technology Partner,$5.00,AFF_WORK_TIER1_01,Workshop/Floor Entry Pass,LinkedIn,,,,,,,,,,
